Date,Open,High,Low,Close,Volume
2010-03-11,0.5844893661213358,0.6008641719818115,0.5844893661213358,0.6008641719818115,3702000.0
2010-03-12,0.6013188564228288,0.605260596650071,0.586005687713623,0.586005687713623,4548000.0
2010-03-15,0.5741792572554365,0.580395324613766,0.5587141605652072,0.5675074458122253,534000.0
2010-03-16,0.5746342264057834,0.6142066462107488,0.5737244732244885,0.6135998368263245,1260000.0
2010-03-17,0.6367974415268199,0.6431654425113483,0.624213426570473,0.635735809803009,2610000.0
2010-03-18,0.6357358948924554,0.6375553472271205,0.6114775606670095,0.620270848274231,1584000.0
2010-03-19,0.6125382159941524,0.6128420815871233,0.5819118826692066,0.5920697450637817,1596000.0
2010-03-22,0.5803956324354761,0.6371006374798767,0.5770597249446209,0.6348263621330261,3804000.0
2010-03-23,0.6437722783090283,0.6781893973330133,0.643468466914487,0.6757631897926331,6114000.0
2010-03-24,0.669244279871349,0.669244279871349,0.6349782208208191,0.6383141279220581,2034000.0
2010-03-25,0.6659084492648412,0.6754604273924559,0.634523417004822,0.6351302266120911,2034000.0
2010-03-26,0.6521107503194421,0.6554466572205035,0.6126902557253141,0.6251232624053955,2322000.0
2010-03-29,0.6452879169470249,0.6492305790740774,0.6374043820516252,0.6419529318809509,1380000.0
2010-03-30,0.6519595390396101,0.6610566360244803,0.6351299204621952,0.6542338132858276,1920000.0
2010-03-31,0.6592374325814359,0.6640889262656106,0.6405883565777337,0.6440752744674683,1080000.0
2010-04-01,0.6621177247001593,0.6888031976218617,0.6354331735695615,0.6461977958679199,1644000.0
2010-04-05,0.6707599352599034,0.7035095431502154,0.6278525157789365,0.7009323239326477,1500000.0
2010-04-06,0.6875893683733357,0.7001743053844345,0.6797057807116886,0.6903184652328491,1998000.0
2010-04-07,0.6939575535885425,0.7115459222167799,0.6748535978963325,0.6971415281295776,3414000.0
2010-04-08,0.6845572641893033,0.6845572641893033,0.6501402034457617,0.6724280714988708,4470000.0
2010-04-09,0.6801606572997647,0.6906223308186851,0.6646955582039316,0.6903184652328491,1254000.0
2010-04-12,0.7007802721796609,0.7254944067516327,0.6924418605652931,0.7076030969619751,2400000.0
2010-04-13,0.7115458715368059,0.7247366455057219,0.702448771082934,0.7212488055229187,2904000.0
2010-04-14,0.7659765192609903,0.8166173762532416,0.7659765192609903,0.8140392899513245,6504000.0
2010-04-15,0.8285946321815676,0.8398149955026466,0.8117649547677892,0.8210139870643616,12666000.0
2010-04-16,0.8111592514143928,0.8111592514143928,0.7536955067516574,0.7906907200813293,4452000.0
2010-04-19,0.7641570031524171,0.7873546267528815,0.7203389744708389,0.7640051245689392,5712000.0
2010-04-20,0.7862929049016928,0.806610418057789,0.7808346570978799,0.8010002374649048,2922000.0
2010-04-21,0.806610717799287,0.824350043309466,0.7405047475535778,0.775983452796936,5772000.0
2010-04-22,0.7608210864181508,0.8223784894465729,0.7253423907729707,0.8198012709617615,6594000.0
2010-04-23,0.833295114109352,0.833295114109352,0.7902357702135858,0.8234401941299438,3600000.0
2010-04-26,0.8308689322887611,0.8533087920446872,0.8249558066034709,0.830717921257019,3846000.0
2010-04-27,0.7959969448020681,0.824652818331154,0.7423239940714721,0.7447502017021179,5112000.0
2010-04-28,0.7599115702566676,0.7997878680401563,0.7218556469691249,0.7596086263656616,6864000.0
2010-04-29,0.75991144273351,0.7884163054406483,0.7509662762197262,0.7856872081756592,5838000.0
2010-04-30,0.7656737321107091,0.7656737321107091,0.6780376495112356,0.6797060370445251,10104000.0
2010-05-03,0.6892578967683666,0.7405046431368167,0.6892578967683666,0.7297400236129761,4926000.0
2010-05-04,0.7145778075826138,0.7145778075826138,0.6016217807191135,0.6331586837768555,19164000.0
2010-05-05,0.6231518845761237,0.6421039032459557,0.5835794601271324,0.6128421425819397,7920000.0
2010-05-06,0.6064740339901676,0.6328556817971209,0.3790464068013002,0.5606846809387207,17448000.0
2010-05-07,0.5458265029727768,0.5623531820770358,0.4678942948389648,0.5265706181526184,12372000.0
2010-05-10,0.6186033487319946,0.621029556371523,0.5884309665436926,0.6186033487319946,7206000.0
2010-05-11,0.5855508364677453,0.63907185754378,0.5781212563365496,0.6067771315574646,27720000.0
2010-05-12,0.6167839446977202,0.6592374576455962,0.6167839446977202,0.6560534834861755,42330000.0
2010-05-13,0.6384651017789974,0.6648467020293669,0.5963154554874935,0.6046547889709473,28992000.0
2010-05-14,0.5904024279714706,0.5904024279714706,0.516412920091248,0.5494654178619385,15846000.0
2010-05-17,0.5377910416506562,0.577514482664877,0.5185352088929579,0.5722081661224365,19140000.0
2010-05-18,0.5863085453145856,0.5961634095515121,0.5177773117754453,0.5255098342895508,16128000.0
2010-05-19,0.5229318513859671,0.5496173202418531,0.4973089363969448,0.5338484048843384,21306000.0
2010-05-20,0.4927603910436046,0.5241454216721042,0.4587972737305006,0.4903341829776764,10638000.0
2010-05-21,0.4700176112676024,0.5449168106617284,0.4583423701469163,0.5223259925842285,11220000.0
2010-05-24,0.5120153402299349,0.5320289940677255,0.4915468096733092,0.4915468096733093,10944000.0
2010-05-25,0.4497000569899935,0.5027671462058613,0.4321126140189343,0.502615213394165,10818000.0
2010-05-26,0.5279352145744726,0.5491624312216605,0.4971569975648507,0.5000380277633667,14250000.0
2010-05-27,0.5388517311909244,0.5769085689307473,0.531271086387822,0.5761498808860779,10578000.0
2010-05-28,0.5828217235349661,0.5828217235349661,0.5250550437297122,0.5484036803245544,9288000.0
2010-06-01,0.5449167139015232,0.565082296488358,0.5111055374145508,0.5111055374145508,4530000.0
2010-06-02,0.529299910377402,0.5662951270689094,0.5132289712244615,0.5656883716583252,11094000.0
2010-06-03,0.5758468522500756,0.5940410477739646,0.5594720545893836,0.5873701572418213,9102000.0
2010-06-04,0.572208234210855,0.5735728102727913,0.5026153430591159,0.5109546780586243,13650000.0
2010-06-07,0.5183832114725361,0.5258128453619938,0.450306845816125,0.4539456963539123,18312000.0
2010-06-08,0.4565229188313804,0.4586461826343697,0.4155859177163645,0.4489422738552093,12504000.0
2010-06-09,0.4612234291226074,0.4898793045201715,0.4343869248959673,0.4399971067905426,8634000.0
2010-06-10,0.4633457648884841,0.4900312306030572,0.4562199962351733,0.4883627891540527,9504000.0
2010-06-11,0.4712301344773212,0.5114093095372608,0.4669845292497593,0.5092860460281372,6510000.0
2010-06-14,0.5338483934423962,0.5481008539121475,0.5177774563310216,0.5189900994300842,6924000.0
2010-06-15,0.5306643606818591,0.6092033263278492,0.5306643606818591,0.6054125428199768,14508000.0
